Date,Close
2020-06-15,44.08
2020-06-16,43.67
2020-06-17,43.93
2020-06-18,43
2020-06-19,43.09
2020-06-20,43.48
2020-06-21,43.51
2020-06-22,44.14
2020-06-23,44.31
2020-06-24,41.97
2020-06-25,42.38
2020-06-26,42.91
2020-06-27,40.76
2020-06-28,41.06
2020-06-29,41.72
2020-06-30,41.27
2020-07-01,41.69
2020-07-02,41.15
2020-07-03,41.63
2020-07-04,41.87
2020-07-05,41.79
2020-07-06,43.81
2020-07-07,44.75
2020-07-08,44.88
2020-07-09,44.14
2020-07-10,44.32
2020-07-11,45.13
2020-07-12,44.66
2020-07-13,43.49
2020-07-14,43.59
2020-07-15,43.27
2020-07-16,42.02
2020-07-17,41.9
2020-07-18,42.31
2020-07-19,42.68
2020-07-20,42.33
2020-07-21,43.92
2020-07-22,45.06
2020-07-23,44.79
2020-07-24,46.95
2020-07-25,48.75
2020-07-26,48.71
2020-07-27,53.61
2020-07-28,56.23
2020-07-29,54.81
2020-07-30,56.02
2020-07-31,59.44
2020-08-01,65.06
2020-08-02,57.2
2020-08-03,58.41
2020-08-04,57.49
2020-08-05,58.4
2020-08-06,59.65
2020-08-07,56.67
2020-08-08,58.21
2020-08-09,58.26
2020-08-10,58.32
2020-08-11,53.58
2020-08-12,54.51
2020-08-13,56.44
2020-08-14,57.73
2020-08-15,61.58
2020-08-16,63.6
2020-08-17,67.24
2020-08-18,62.63
2020-08-19,62.27
2020-08-20,63.8
2020-08-21,58.97
2020-08-22,58.83
2020-08-23,61.63
2020-08-24,61.06
2020-08-25,57.92
2020-08-26,57.88
2020-08-27,56.32
2020-08-28,57.49
2020-08-29,58.63
2020-08-30,62.36
2020-08-31,61.42
2020-09-01,62.45
2020-09-02,57.42
2020-09-03,48.31
2020-09-04,50.04
2020-09-05,47.29
2020-09-06,47.78
2020-09-07,48.61
2020-09-08,46.87
2020-09-09,49.17
2020-09-10,47.61
2020-09-11,48.98
2020-09-12,50.82
2020-09-13,48.16
2020-09-14,49.62
2020-09-15,47.94
2020-09-16,48.34
2020-09-17,48.67
2020-09-18,48.33
2020-09-19,48.07
2020-09-20,47.13
2020-09-21,43.48
2020-09-22,44.4
2020-09-23,43.54
2020-09-24,44.73
2020-09-25,46.11
2020-09-26,46.2
2020-09-27,46.78
2020-09-28,45.56
2020-09-29,45.5
2020-09-30,46.47
2020-10-01,46.49
2020-10-02,45.4
2020-10-03,45.48
2020-10-04,46.32
2020-10-05,46.62
2020-10-06,45.65
2020-10-07,46.37
2020-10-08,46.97
2020-10-09,49.9
2020-10-10,49.16
2020-10-11,50.14
2020-10-12,50.16
2020-10-13,49.96
2020-10-14,49.68
2020-10-15,49.77
2020-10-16,47.6
2020-10-17,47.11
2020-10-18,46.87
2020-10-19,48.37
2020-10-20,49.24
2020-10-21,54.9
2020-10-22,54.63
2020-10-23,55.51
2020-10-24,58.69
2020-10-25,58.6
2020-10-26,56.86
2020-10-27,59.65
2020-10-28,55.95
2020-10-29,54.36
2020-10-30,54.43
2020-10-31,55.18
2020-11-01,55.84
2020-11-02,52.16
2020-11-03,54.18
2020-11-04,55.66
2020-11-05,60.92
2020-11-06,63.42
2020-11-07,59.55
2020-11-08,60.93
